Enrollments,SIS dep Nenr,SIS Ndep Enr,SIS adm Ndep Nenr,SIS Nadm1,SIS Nadm2,SIS Nadm3,SIS app Nadm,SIS Napp1,SIS Napp2,SIS Napp3,SIS Napp4,SIS Napp5,SIS Napp6,SIS Napp7,SIS Sub nApp,SIS Nsub1,SIS Nsub2,SIS Nsub3,SIS Nsub4,SIS Nsub5,SIS Nsub6,SIS Nsub7,SIS Nsub8,SIS Nsub9,SIS Nsub10,SIS Nsub11,SIS Nsub12,SIS Nsub13,SIS Nsub14,SIS Nsub15,SIS Started Nsub,SIS P Nst1,SIS P Nst2,SIS P Nst3,SIS P Nst4,SIS P Nst5,SIS P Nst6,SIS P Nst7,SIS P Nst8,SIS P Nst9,SIS P Nst10,SIS P Nst11,SIS P Nst12,SIS P Nst13,SIS P Nst14,SIS P Nst15,SIS P Nst16,SIS P Nst17,SIS P Nst18,SIS P Nst19,SIS P Nst20,SIS P Nst21,SIS P Nst22,SIS P Nst23,SIS P Nst24,SIS P Nst25,SIS P Nst26,SIS P Nst27,SIS P Nst28,SIS P Nst29,SIS P Nst30,SIS P Nst31,SIS Prospect Nst
0,17,1,2,1,1,1,0,1,1,1,1,1,1,1,163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1510
0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1654
0,17,1,1,1,1,1,1,1,1,1,1,1,1,1,762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1747
0,17,1,1,1,1,1,79,1,1,1,1,1,1,1,976,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1766
0,17,1,1,1,1,1,770,1,1,1,1,1,1,1,350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1840
0,17,1,26,1,1,1,840,1,1,1,1,1,1,1,276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1866
0,26,1,848,1,1,1,119,1,1,1,1,1,1,1,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1912
0,32,1,902,1,1,1,91,1,1,1,1,1,1,1,165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1966
3,81,1,880,1,1,1,88,1,1,1,1,1,1,1,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2041
34,130,1,819,1,1,1,84,1,1,1,1,1,1,1,151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2073
